Field	Type	Null	Key	Default	Extra
id	int(10) unsigned	NO	PRI	NULL	auto_increment
title	varchar(200)	NO		NULL	
content	text	YES		NULL	
banner_type	enum('info','warning','success','danger','promotion','top_bar','hero','sidebar','popup','footer')	YES	MUL	info	
background_color	varchar(7)	YES		#0d6efd	
text_color	varchar(7)	YES		#ffffff	
button_url	varchar(255)	YES		NULL	
button_text	varchar(100)	YES		NULL	
display_order	int(11)	YES		0	
is_active	tinyint(1)	YES	MUL	1	
start_date	datetime	YES	MUL	NULL	
end_date	datetime	YES		NULL	
show_on_pages	longtext	YES		NULL	
show_to_user_types	enum('all','guests','customers')	YES		all	
view_count	int(11)	YES		0	
click_count	int(11)	YES		0	
created_at	timestamp	YES		current_timestamp()	
updated_at	timestamp	YES		current_timestamp()	on update current_timestamp()
created_by	int(10) unsigned	YES		NULL	
